id,nominador,nominado,práctica,motivo,fecha
1,YMYLFX,VTURVS,Gestión visual,integridad,2022-11-04 16:16:00
2,YSDXVW,XXOQZL,Mejor enfocada,flexibilidad,2022-01-03 11:55:20
3,QOUKJT,AAYJSY,5S,integridad,2021-08-02 15:55:49
4,ZJTHTP,TOUMIM,Gestión visual,integridad,2021-08-24 13:51:18
5,XKNINO,XBWZWG,trabajo en equipo,flexibilidad,2021-01-20 09:57:32
6,WJTRJS,OKOBZI,5S,integridad,2020-04-28 16:20:59
7,OKOBZI,MARBVV,trabajo en equipo,flexibilidad,2021-02-19 16:32:06
8,TQGKAB,HDMEBS,Mejor enfocada,integridad,2022-02-02 13:12:43
9,VGUJXS,SESMZO,Mejor enfocada,flexibilidad,2022-02-25 16:45:38
10,HGTZXV,GTKOAR,Mejor enfocada,eficiencia,2021-02-03 11:43:28
11,MMMROI,JGDITO,Mejor enfocada,flexibilidad,2020-10-02 11:44:36
12,UUSLBB,OCRIHG,Mindset digital,eficiencia,2020-12-17 12:13:32
13,ZVRSPJ,ZJTHTP,Gestión visual,flexibilidad,2020-06-26 10:08:55
14,UUSLBB,PHZJVT,Mejor enfocada,integridad,2022-04-22 13:23:05
15,UGJBEZ,SKBQGD,5S,integridad,2020-07-28 10:34:24
16,ZVRSPJ,YSDXVW,trabajo en equipo,flexibilidad,2021-02-05 12:13:37
17,WITHGI,WITHGI,5S,flexibilidad,2022-04-20 16:15:35
18,LRDAXO,FJQVLT,trabajo en equipo,liderazgo,2020-06-18 15:04:21
19,SRHEUW,SRHEUW,Mejor enfocada,eficiencia,2021-08-10 09:32:26
20,TQGKAB,MYMUVU,Mejor enfocada,liderazgo,2021-03-11 10:35:05
21,ZGFFFA,TQGKAB,5S,flexibilidad,2022-03-23 08:19:50
22,OKOBZI,NOPCYT,Mindset digital,integridad,2020-08-25 10:39:10
23,CATXCK,BYARQR,Gestión visual,liderazgo,2022-04-25 12:17:13
24,UUSLBB,UGJBEZ,Mejor enfocada,flexibilidad,2020-05-22 13:14:25
25,GXGRWS,DSPLFC,Gestión visual,flexibilidad,2021-02-09 14:53:36
26,OHZSFW,NGQYDO,Gestión visual,integridad,2022-12-07 08:58:39
27,OQASBV,LRNAYY,5S,liderazgo,2021-04-23 08:05:13
28,TVGKMZ,ACMRSR,trabajo en equipo,flexibilidad,2020-07-15 09:06:51
29,UGTYPD,CRLVKD,5S,integridad,2020-02-20 14:21:38
30,RHBVCY,EKJNGS,trabajo en equipo,flexibilidad,2020-04-09 13:31:22
31,PZTNGZ,OQASBV,Mejor enfocada,liderazgo,2022-08-11 09:32:59
32,ZGFFFA,WJTRJS,Mejor enfocada,integridad,2022-07-20 10:15:24
33,YXITAI,PWAOVJ,trabajo en equipo,eficiencia,2022-03-23 12:00:12
34,TJZCUB,HDMEBS,5S,flexibilidad,2022-02-25 15:45:40
35,COAWHR,AICYGJ,Gestión visual,eficiencia,2021-09-21 10:04:03
36,YSDXVW,YPEREB,Mindset digital,liderazgo,2021-05-26 08:17:01
37,HPCBNT,AICYGJ,Mindset digital,liderazgo,2022-11-09 09:00:25
38,OQASBV,EKOPDB,Gestión visual,eficiencia,2022-02-15 12:32:59
39,UIUGGE,BYARQR,Mindset digital,integridad,2022-05-20 11:36:49
40,QVGXTN,QVGXTN,trabajo en equipo,eficiencia,2021-06-09 12:14:08
41,YYZTHO,XXOQZL,Mindset digital,eficiencia,2021-11-24 12:44:06
42,IYSOAD,CUCDHW,Mindset digital,eficiencia,2022-06-01 09:52:24
43,YXITAI,CGGPQA,5S,liderazgo,2022-01-03 14:59:48
44,ICOBBV,AOPCNY,5S,flexibilidad,2022-07-12 08:00:35
45,XPKFER,MDSLPF,Mejor enfocada,flexibilidad,2021-01-15 08:09:36
46,RXEKOY,BOVVQR,trabajo en equipo,eficiencia,2021-07-13 09:39:33
47,YSDXVW,CHZYGW,Mindset digital,integridad,2022-06-13 10:52:35
48,RHLLVF,CSVDUZ,trabajo en equipo,eficiencia,2021-10-19 10:02:26
49,ZFSNEE,XKNINO,Gestión visual,liderazgo,2022-09-27 12:27:47
50,XXDOCZ,SKTDVR,Mindset digital,integridad,2020-09-08 16:17:54
51,WTEZZM,VRLILS,Mindset digital,flexibilidad,2020-08-24 16:06:11
52,YSDXVW,PAFJGV,5S,eficiencia,2020-01-09 09:02:03
53,XQOAVC,XOKEPR,Mindset digital,eficiencia,2022-01-28 14:08:45
54,UXOIKV,AICYGJ,Mindset digital,flexibilidad,2021-08-12 14:47:06
55,KHQIMX,GYWCQG,trabajo en equipo,flexibilidad,2021-06-14 08:57:40
56,KVXWQK,KJSLKY,trabajo en equipo,flexibilidad,2021-05-19 11:04:45
